,Name of Member,Party,Constituency,State,Constituency Type
362,"Rathod, Shri Dipsinh Shankarsinh",Bharatiya Janata Party,Sabarkantha,Gujarat,
363,"Rathod, Shri Ratansinh Magansinh",Bharatiya Janata Party,Panchmahal,Gujarat,
364,"Rathore, Col. Rajyavardhan Singh",Bharatiya Janata Party,Jaipur Rural,Rajasthan,
365,"Rathva, Smt. Gitaben Vajesingbhai",Bharatiya Janata Party,Chhota Udaipur,Gujarat,ST
366,"Raut, Shri Vinayak Bhaurao",Shiv Sena,Ratnagiri-Sindhudurg,Maharashtra,
367,"Ravikumar, Dr. D.",Dravida Munnetra Kazhagam,Viluppuram,Tamil Nadu,SC
368,"Ravindhranath, Shri P.",All India Anna Dravida Munnetra Kazhagam,Theni,Tamil Nadu,
369,"Rawat, Shri Ashok Kumar",Bharatiya Janata Party,Misrikh,Uttar Pradesh,SC
370,"Rawat, Shri Tirath Singh",Bharatiya Janata Party,Garhwal,Uttarakhand,
371,"Rawat, Shri Upendra Singh",Bharatiya Janata Party,Barabanki,Uttar Pradesh,SC
372,"Ray, Smt. Sandhya",Bharatiya Janata Party,Bhind,Madhya Pradesh,SC
373,"Ray, Prof. Sougata",All India Trinamool Congress,Dum Dum,West Bengal,
374,"Reddy, Shri Adala Prabhakara",Yuvajana Sramika Rythu Congress Party,Nellore,Andhra Pradesh,
375,"Reddy, Shri Anumula Revanth",Indian National Congress,Malkajgiri,Telangana,
376,"Reddy, Dr. Gaddam Ranjith",Telangana Rashtra Samithi,Chevella,Telangana,
377,"Reddy, Shri Komati Reddy Venkat",Indian National Congress,Bhongir,Telangana,
378,"Reddy, Shri Kotha Prabhakar",Telangana Rashtra Samithi,Medak,Telangana,
379,"Reddy, Shri Magunta Sreenivasulu",Yuvajana Sramika Rythu Congress Party,Ongole,Andhra Pradesh,
380,"Reddy, Shri P.V. Midhun",Yuvajana Sramika Rythu Congress Party,Rajampet,Andhra Pradesh,
381,"Reddy, Shri Pocha Brahmananda",Yuvajana Sramika Rythu Congress Party,Nandyal,Andhra Pradesh,
382,"Reddy, Shri Uttam Kumar Nalamada",Indian National Congress,Nalgonda,Telangana,
383,"Reddy, Shri Y. S. Avinash",Yuvajana Sramika Rythu Congress Party,kadapa,Andhra Pradesh,
384,"Rehman, Shri Haji Fazlur",Bahujan Samaj Party,Saharanpur,Uttar Pradesh,
385,"Revanna, Shri Prajwal",Janata Dal (Secular),Hassan,Karnataka,
386,"Rijiju, Shri Kiren",Bharatiya Janata Party,Arunachal West,Arunachal Pradesh,
387,"Roy, Dr. Jayanta Kumar",Bharatiya Janata Party,Jalpaiguri,West Bengal,SC
388,"Roy, Smt. Mala",All India Trinamool Congress,Kolkata Dakshin,West Bengal,
389,"Roy, Dr. Rajdeep",Bharatiya Janata Party,Silchar,Assam,
390,"Roy (Banerjee), Smt. Satabdi",All India Trinamool Congress,Birbhum,West Bengal,
391,"Rudy, Shri Rajiv Pratap",Bharatiya Janata Party,Saran,Bihar,
392,"Ruhi, MS. Nusrat Jahan",All India Trinamool Congress,Basirhat,West Bengal,
393,"Sadique, Mohammad",Indian National Congress,Faridkot,Punjab,SC
394,"Sagar, Shri Arun Kumar",Bharatiya Janata Party,Shahjahanpur,Uttar Pradesh,SC
395,"Sahoo, Shri Mahesh",Biju Janata Dal,Dhenkanal,Odisha,
